SMILES_x,Original_SMILES,O_ATSC1pe,O_MATS2c,O_SlogP_VSA2,SMILES_y,P_ATSC1pe,P_MATS2c,P_SlogP_VSA2,AvgSimilarity,SMILES,ATSC1pe,MATS2c,SlogP_VSA2
CCC=NC=C=NC,CO/C=C/OCNN,0.1176,-0.375870469,19.13207163,CO/C=C/OCNN,0.341,-0.376,23.068,0.724633556,CCC=NC=C=NC,0.1176,-0.375870469,19.13207163
CN=CNC=C=CN,CNCO/C=C/NO,-0.282148443,0.070632749,13.38620735,CNCO/C=C/NO,-0.193,0.095,18.984,0.710890246,CN=CNC=C=CN,-0.282148443,0.070632749,13.38620735
C=NC=C=CCOC,CO/C=C/OCNN,0.132841869,-0.360703313,20.43419566,CO/C=C/OCNN,0.341,-0.376,23.068,0.744902417,C=NC=C=CCOC,0.132841869,-0.360703313,20.43419566
CO/C=C/CCOC,CO/C=C/OCNN,0.200739,-0.270577455,20.82647705,CO/C=C/OCNN,0.341,-0.376,23.068,0.737042692,CO/C=C/CCOC,0.200739,-0.270577455,20.82647705
COC=C=C=COO,CO/C=C/OCNN,0.370235204,-0.420296443,12.36703294,CO/C=C/OCNN,0.341,-0.376,23.068,0.783918285,COC=C=C=COO,0.370235204,-0.420296443,12.36703294
C=CNC=NCCCN,CCNNOCCCN,-0.1911,0.027038087,19.42804817,CCNNOCCCN,-0.193,0.095,18.984,0.750636949,C=CNC=NCCCN,-0.1911,0.027038087,19.42804817
CCN=CNCC=CN,CCNNOCCCN,-0.1911,0.039412568,19.42804817,CCNNOCCCN,-0.193,0.095,18.984,0.794056179,CCN=CNCC=CN,-0.1911,0.039412568,19.42804817
CCNC=NC=CCN,CCNNOCCCN,-0.1911,0.033164071,19.42804817,CCNNOCCCN,-0.193,0.095,18.984,0.77213163,CCNC=NC=CCN,-0.1911,0.033164071,19.42804817
C=NCCCCN=C,NNCCCCNO,0.131859,-0.348176703,26.52454512,NNCCCCNO,0.341,-0.376,23.068,0.72745673,C=NCCCCN=C,0.131859,-0.348176703,26.52454512
C=NCC=CCOC,NNCCCCNO,0.1625,-0.321595269,26.97895207,NNCCCCNO,0.341,-0.376,23.068,0.728961024,C=NCC=CCOC,0.1625,-0.321595269,26.97895207
COCCCCOC,NNCCCCNO,0.232323967,-0.286038353,27.43335901,NNCCCCNO,0.341,-0.376,23.068,0.760972106,COCCCCOC,0.232323967,-0.286038353,27.43335901
C/C(=C\CCO)C1CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.340114286,0.081965752,24.09378555,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.739391573,C/C(=C\CCO)C1CCN=C1N,-0.340114286,0.081965752,24.09378555
