SMILES_x,Original_SMILES,O_ATSC1pe,O_MATS2c,O_SlogP_VSA2,SMILES_y,P_ATSC1pe,P_MATS2c,P_SlogP_VSA2,AvgSimilarity,SMILES,ATSC1pe,MATS2c,SlogP_VSA2
C/C(=C\CCF)C1CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.188377778,0.108833511,19.05496716,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.948406411,C/C(=C\CCF)C1CCN=C1N,-0.188377778,0.108833511,19.05496716
N/C(=C\CN=O)C1C=CN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.231971429,0.092151338,17.54902915,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.908808222,N/C(=C\CN=O)C1C=CN=C1O,-0.231971429,0.092151338,17.54902915
OC=NCC=C1CC1,C1N(CCOCN)C1,-0.167817647,0.086549479,18.05194472,C1N(CCOCN)C1,-0.193,0.095,18.984,0.910490584,OC=NCC=C1CC1,-0.167817647,0.086549479,18.05194472
C=NCC=NNC=C(C)C,CNCCNN/C=C(\F)/F,0.313136862,-0.377352569,19.47687314,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.919676621,C=NCC=NNC=C(C)C,0.313136862,-0.377352569,19.47687314
CNCCOOC=C(F)F,CNCCNN/C=C(\F)/F,0.322119114,-0.423540945,20.19931035,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.902675489,CNCCOOC=C(F)F,0.322119114,-0.423540945,20.19931035
COCCNOC=C(C)F,CNCCNN/C=C(\F)/F,0.326810744,-0.416042815,20.26143591,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.913492532,COCCNOC=C(C)F,0.326810744,-0.416042815,20.26143591
COCCONC=C(C)F,CNCCNN/C=C(\F)/F,0.326810744,-0.40314574,20.32356147,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.9240276,COCCONC=C(C)F,0.326810744,-0.40314574,20.32356147
CC/C=C/CC=NN=CC=O,CO/N=C/CCNNCC=N,0.32911569,-0.350835512,18.71536168,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.903178178,CC/C=C/CC=NN=CC=O,0.32911569,-0.350835512,18.71536168
C=CC=C=CCNOCC=N,CO/N=C/CCNNCC=N,0.32191569,-0.373214839,19.36623895,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.925385082,C=CC=C=CCNOCC=N,0.32191569,-0.373214839,19.36623895
C=C=C=CCCONCC=O,CO/N=C/CCNNCC=N,0.393742149,-0.375042314,19.43779889,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.902044138,C=C=C=CCCONCC=O,0.393742149,-0.375042314,19.43779889
C=C/N=C/C=CNOCC=O,CO/N=C/CCNNCC=N,0.346520181,-0.376607826,19.10764307,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.936924623,C=C/N=C/C=CNOCC=O,0.346520181,-0.376607826,19.10764307
CCN=C=CCNOC=C=O,CO/N=C/CCNNCC=N,0.346520181,-0.429124463,24.90067088,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.928891027,CCN=C=CCNOC=C=O,0.346520181,-0.429124463,24.90067088
CC/N=C/C=CONC=C=O,CO/N=C/CCNNCC=N,0.346520181,-0.381568735,18.70071599,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.926717724,CC/N=C/C=CONC=C=O,0.346520181,-0.381568735,18.70071599
CN/C=C/CCNOCC=O,CO/N=C/CCNNCC=N,0.32973264,-0.328150308,26.48547088,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.903555387,CN/C=C/CCNOCC=O,0.32973264,-0.328150308,26.48547088
CN/C=C/C=C=NOCC=O,CO/N=C/CCNNCC=N,0.346520181,-0.326034747,25.81051353,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.914975894,CN/C=C/C=C=NOCC=O,0.346520181,-0.326034747,25.81051353
CN=C=CC=CNOCC=O,CO/N=C/CCNNCC=N,0.346520181,-0.407843904,25.81051353,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.933245113,CN=C=CC=CNOCC=O,0.346520181,-0.407843904,25.81051353
CN=C=CCCONC=C=O,CO/N=C/CCNNCC=N,0.346520181,-0.384734498,25.46571202,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.955737493,CN=C=CCCONC=C=O,0.346520181,-0.384734498,25.46571202
C=N/N=C/CCCOC=C=O,CO/N=C/CCNNCC=N,0.304753515,-0.345933483,25.48035771,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.90635533,C=N/N=C/CCCOC=C=O,0.304753515,-0.345933483,25.48035771
CN/N=C/CCN=NC=C=O,CO/N=C/CCNNCC=N,0.383575283,-0.369805303,25.74838798,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.922809863,CN/N=C/CCN=NC=C=O,0.383575283,-0.369805303,25.74838798
C=NN=C=CC=NC,C=NO/C=C/NOC,0.331871556,-0.42137009,25.84958778,C=NO/C=C/NOC,0.341,-0.376,23.068,0.919316975,C=NN=C=CC=NC,0.331871556,-0.42137009,25.84958778
C=NCC=C=NN=C,C=NO/C=C/NOC,0.331871556,-0.414484573,25.84958778,C=NO/C=C/NOC,0.341,-0.376,23.068,0.92425816,C=NCC=C=NN=C,0.331871556,-0.414484573,25.84958778
CNN1CC=C=CCC1,C1N(OC)CCOCN1,0.369133333,-0.382237848,25.14609732,C1N(OC)CCOCN1,0.341,-0.376,23.068,0.941608403,CNN1CC=C=CCC1,0.369133333,-0.382237848,25.14609732
C=NC=C=NCOO,CO/C=C/OCNN,0.348263265,-0.451999993,24.57536736,CO/C=C/OCNN,0.341,-0.376,23.068,0.916555411,C=NC=C=NCOO,0.348263265,-0.451999993,24.57536736
CO/C=C/OCOO,CO/C=C/OCNN,0.30924375,-0.362533164,19.15997524,CO/C=C/OCNN,0.341,-0.376,23.068,0.900547956,CO/C=C/OCOO,0.30924375,-0.362533164,19.15997524
