SMILES,ATSC1pe,MATS2c,SlogP_VSA2,Predictions
COC(C)=C(CF)C1CN1,-0.053350000000003,-0.1412506191951794,37.50336054084422,2
CCC(C)=C(OC)C1CN1,0.1179759999999975,-0.2258014207087776,25.99232128904905,1
COC(=C(C)CN)C1CN1,-0.1546875000000003,-0.1813417949644503,32.46454215376551,2
COC(=C(C)CO)C1CN1,-0.2094000000000033,-0.1837563572478232,26.03524647307407,1
COC(=C(C)CF)C1CN1,-0.053350000000003,-0.2259485681530698,32.58000287898665,1
CCC(F)=C(OC)C1CN1,-0.053350000000003,-0.3205301163130774,37.748655832427694,1
COC(=C(F)CN)C1CN1,-0.4398571428571457,-0.3064455135981536,32.709837445348974,1
COC(=C(F)CO)C1CN1,-0.5106000000000014,-0.3095748005361458,32.40724312859928,1
COC(=C(F)CF)C1CN1,-0.2787789473684217,-0.3509670690519797,38.87946399331575,1
COC(C)=C(OC)C1CN1,0.1020999999999964,-0.3129469675581832,39.12475928489922,1
CCC(C)=C(CC)C1CO1,0.161226923076922,-0.1569826576090736,32.53149424579997,0
CCC(=C(C)CN)C1CO1,-0.0535239999999998,-0.0902373728685719,39.00371511051643,1
CCC(=C(C)CO)C1CO1,-0.0800999999999995,-0.1092049205893354,39.24901040209991,1
CCC(=C(C)CF)C1CO1,0.0862913043478243,-0.1790343312899123,25.29744558732176,1
CCC(C)=C(CN)C1CO1,-0.0535239999999998,-0.1022050419308965,31.58360611045131,1
CC(CN)=C(CN)C1CO1,-0.3261875000000003,-0.0696125845718566,25.29744558732176,2
CC(CO)=C(CN)C1CO1,-0.3809000000000032,-0.0863678506100558,31.84220199323433,1
CC(CF)=C(CN)C1CO1,-0.2248500000000029,-0.1242088328736167,37.01085494667537,2
CCC(C)=C(CO)C1CO1,-0.0800999999999995,-0.1191451699043146,43.29701546980493,1
CC(CN)=C(CO)C1CO1,-0.3809000000000032,-0.0865031080944242,37.01085494667537,1
CC(CO)=C(CO)C1CO1,-0.43731363636364,-0.0986157911497656,31.972036559596663,2
CC(CF)=C(CO)C1CO1,-0.2572523809523825,-0.1323682014231968,38.25819708272621,1
CCC(C)=C(CF)C1CO1,0.0862913043478243,-0.1763424442012187,31.972036559596663,1
CC(CN)=C(CF)C1CO1,-0.2248500000000029,-0.1129275306722514,25.091224543931062,1
CC(CO)=C(CF)C1CO1,-0.2572523809523825,-0.1226231211781243,25.162784487525304,1
CC(CF)=C(CF)C1CO1,-0.0111250000000007,-0.1769651359400782,31.63598094984364,0
CCC(F)=C(CC)C1CO1,0.0862913043478243,-0.1041972311647946,31.70754089343788,1
CCC(=C(F)CN)C1CO1,-0.2248500000000029,-0.1334278344209985,36.80463390328468,2
CCC(=C(F)CO)C1CO1,-0.2572523809523825,-0.1632713575288082,36.87619384687892,1
CCC(=C(F)CF)C1CO1,-0.0111250000000007,-0.2090509130886354,31.76581551620597,1
CCC(F)=C(CN)C1CO1,-0.2248500000000029,-0.0751095484270427,31.83737545980021,1
NCC(F)=C(CN)C1CO1,-0.6113571428571457,-0.1058518995167878,25.421696704522443,0
NCC(=C(F)CO)C1CO1,-0.6821000000000013,-0.1333112460993253,31.707857227652,2
NCC(=C(F)CF)C1CO1,-0.4502789473684215,-0.1557984805451887,25.421696704522443,2
CCC(F)=C(CO)C1CO1,-0.2572523809523825,-0.0868982384137556,31.96645311043501,1
NCC(F)=C(CO)C1CO1,-0.6821000000000013,-0.1113312305643914,37.13510606387606,2
OCC(F)=C(CO)C1CO1,-0.7565,-0.1348437632625255,43.42126658700562,1
OCC(=C(F)CF)C1CO1,-0.4934555555555555,-0.1528818581051184,37.13510606387606,1
CCC(F)=C(CF)C1CO1,-0.0111250000000007,-0.0996507855245321,32.096287676797346,1
NCC(F)=C(CF)C1CO1,-0.4502789473684215,-0.123996793967615,38.3824481999269,1
OCC(F)=C(CF)C1CO1,-0.4934555555555556,-0.1490653447101342,32.096287676797346,2
FCC(F)=C(CF)C1CO1,-0.1429235294117651,-0.176658816055927,32.71755458738688,2
CCC(=C(C)OC)C1CO1,0.2314000000000001,-0.1411151206338901,39.00371511051644,1
COC(C)=C(CN)C1CO1,-0.0694000000000034,-0.1225482074620034,32.717554587386886,2
COC(C)=C(CO)C1CO1,-0.1258136363636403,-0.1297743411126708,25.15335010253141,1
COC(C)=C(CF)C1CO1,0.0542476190476172,-0.1469030744181962,25.224910046125647,1
CCC(C)=C(OC)C1CO1,0.2314000000000001,-0.2699760456675493,31.69810650844398,1
COC(=C(C)CN)C1CO1,-0.0694000000000034,-0.220564433346733,31.76966645203822,1
COC(=C(C)CO)C1CO1,-0.1258136363636402,-0.2182165526575195,36.86675946188503,2
COC(=C(C)CF)C1CO1,0.0542476190476172,-0.2620228270020249,36.93831940547926,0
CCC(F)=C(OC)C1CO1,0.0542476190476171,-0.3417465732807266,31.827941074806315,0
COC(=C(F)CN)C1CO1,-0.3706000000000027,-0.3261541084600552,31.89950101840056,1
COC(=C(F)CO)C1CO1,-0.4450000000000004,-0.3271657483578488,32.44920798539585,1
COC(=C(F)CF)C1CO1,-0.1819555555555558,-0.3659784811349654,32.52076792899008,0
COC(C)=C(OC)C1CO1,0.1856863636363594,-0.3332699657366669,24.03126337182359,0
C=CC(C)=C(CC)C1CC1,-5.481726184086709e-16,-0.0706205483782981,30.317423894953144,1
CCC(=C(C)C=O)C1CC1,5.065392549852277e-16,-0.1896045394397701,24.03126337182359,1
CCC(=C(C)C#N)C1CC1,-2.7547408798511697e-15,-0.1360040334697514,30.576019777736164,2
C=CC(C)=C(CN)C1CC1,-0.1564079999999992,-0.0254485038396074,35.74467273117721,1
C=CC(C)=C(CO)C1CC1,-0.1627958333333326,-0.0806013923620669,42.03083325430676,2
CC(C=O)=C(CO)C1CC1,-0.2136000000000025,-0.1163578687722561,35.74467273117721,2
CC(C#N)=C(CO)C1CC1,-0.2068190476190494,-0.0770491578637765,30.705854344098498,2
C=CC(C)=C(CF)C1CC1,-2.3592239273284576e-15,-0.2045026802602012,36.99201486722805,2
CC(C=O)=C(CF)C1CC1,-8.951173136040325e-16,-0.1952842776869727,30.705854344098498,1
CC(C#N)=C(CF)C1CC1,-8.101158632811689e-16,-0.154669626776967,36.914555140258045,2
C=CC(F)=C(CC)C1CC1,-2.357489203852481e-15,-0.0724947901018784,36.98611508385228,1
CCC(=C(F)C=O)C1CC1,-9.020562075079397e-16,-0.3118838918865528,43.45931154617062,1
CCC(=C(F)C#N)C1CC1,-1.5213524884316598e-15,-0.323660304976379,43.530871489764856,1
C=CC(F)=C(CN)C1CC1,-0.2414363636363661,-0.0365797927428281,48.627964499611664,2
C=CC(F)=C(CO)C1CC1,-0.2466571428571441,-0.0692910293512898,48.6995244432059,2
O=CC(F)=C(CO)C1CC1,-0.3143105263157897,-0.1892126930569027,43.58914611253295,1
N#CC(F)=C(CO)C1CC1,-0.3119944444444447,-0.1662111575151739,43.66070605612719,1
C=CC(F)=C(CF)C1CC1,-4.198030811863873e-16,-0.106747528093682,37.2935359340361,1
O=CC(F)=C(CF)C1CC1,4.996003610813204e-16,-0.2518141961906042,43.83829233994867,2
N#CC(F)=C(CF)C1CC1,8.153200337090992e-17,-0.2291269661537373,49.00694529338972,2
CNC(=C(C)C=O)C1CC1,-0.0364304347826123,-0.1622445416348809,43.96812690631101,2
CNC(=C(C)C#N)C1CC1,-0.0280636363636387,-0.1723722954971617,30.638145336336507,0
CNC(=C(F)C=O)C1CC1,-0.1376900000000005,-0.3357961981948525,37.11036620105297,2
CNC(=C(F)C#N)C1CC1,-0.1333315789473689,-0.3713400404311207,37.18290174224908,1
C=CC(C)=C(OC)C1CC1,0.1487041666666671,-0.2022120798058066,43.65512260696554,2
COC(=C(C)C=O)C1CC1,0.0978999999999971,-0.1938137327222978,42.351554695690126,2
COC(=C(C)C#N)C1CC1,0.1046809523809503,-0.2207604328966721,48.82377556040659,2
C=CC(F)=C(OC)C1CC1,0.0648428571428555,-0.3400185880575407,37.31273630861141,1
COC(=C(F)C=O)C1CC1,-0.0028105263157899,-0.363078741437345,43.78495717332788,1
COC(=C(F)C#N)C1CC1,-0.0004944444444453,-0.4038757137586603,37.35566149263644,0
C=CC(C)=C(CC)C1CN1,0.0150919999999981,-0.0982073481207301,43.900417898549016,1
CCC(=C(C)C=O)C1CN1,-0.0364304347826123,-0.1475932975621462,49.06907085199006,2
CCC(=C(C)C#N)C1CN1,-0.0280636363636388,-0.1037737070252524,44.03025246491135,1
C=CC(C)=C(CN)C1CN1,-0.1943666666666666,-0.0644158599256949,0.0,1
C=CC(C)=C(CO)C1CN1,-0.2252652173913087,-0.0963066569863132,6.544756405912575,1
CC(C=O)=C(CO)C1CN1,-0.3423047619047639,-0.1149985342734386,11.713409359353625,0
CC(C#N)=C(CO)C1CN1,-0.3305950000000019,-0.0843747247506725,6.674590972274908,2
C=CC(C)=C(CF)C1CN1,-0.0699363636363662,-0.1593362372317776,13.08951281182515,1
CC(C=O)=C(CF)C1CN1,-0.1376900000000005,-0.1590366335173766,13.213763929025836,1
CC(C#N)=C(CF)C1CN1,-0.1333315789473689,-0.1212447155839858,12.586597235060536,1
C=CC(F)=C(CC)C1CN1,-0.0699363636363662,-0.0851841112825053,19.13135364097311,1
CCC(=C(F)C=O)C1CN1,-0.1376900000000005,-0.2374229269112371,24.30000659441416,0
CCC(=C(F)C#N)C1CN1,-0.1333315789473689,-0.2207238127622355,19.261188207335444,0
C=CC(F)=C(CN)C1CN1,-0.3801000000000025,-0.0622537767430046,12.71084835226122,2
C=CC(F)=C(CO)C1CN1,-0.4184850000000006,-0.082528162834001,19.2556047581738,2
O=CC(F)=C(CO)C1CN1,-0.5765,-0.1737877776159403,24.42425771161484,2
N#CC(F)=C(CO)C1CN1,-0.5765000000000001,-0.1519261681283138,19.38543932453613,2
C=CC(F)=C(CF)C1CN1,-0.1818157894736845,-0.1008280891298818,20.006706235125662,2
O=CC(F)=C(CF)C1CN1,-0.2746882352941178,-0.2066865897062315,24.03126337182359,1
N#CC(F)=C(CF)C1CN1,-0.2780750000000002,-0.1790113685211021,12.586597235060536,0
CNC(=C(C)C=O)C1CN1,-0.1354181818181846,-0.1904078517228542,19.13135364097311,0
CNC(=C(C)C#N)C1CN1,-0.1208666666666699,-0.20250058387572,24.30000659441416,0
CNC(=C(F)C=O)C1CN1,-0.3584736842105272,-0.3271399808094837,19.261188207335444,0
CNC(=C(F)C#N)C1CN1,-0.3538888888888895,-0.3524118882780724,25.67611004688569,0
C=CC(C)=C(OC)C1CN1,0.086234782608691,-0.2573354145770373,25.80036116408637,1
COC(=C(C)C=O)C1CN1,-0.0308047619047642,-0.2354149449805891,25.17319447012107,0
COC(=C(C)C#N)C1CN1,-0.0190950000000021,-0.2624331970821288,31.717950876033647,0
C=CC(F)=C(OC)C1CN1,-0.1069850000000009,-0.3609130329837046,36.88660382947469,1
COC(=C(F)C=O)C1CN1,-0.2650000000000003,-0.3750977209137723,31.84778544239598,0
COC(=C(F)C#N)C1CN1,-0.2650000000000003,-0.4101573117151159,25.29744558732176,0
C=CC(C)=C(CC)C1CO1,0.148704166666667,-0.1582878102986816,31.842201993234333,0
CCC(=C(C)C=O)C1CO1,0.0978999999999971,-0.1709576276038608,37.01085494667538,1
CCC(=C(C)C#N)C1CO1,0.1046809523809503,-0.1385323010006201,31.972036559596667,0
C=CC(C)=C(CN)C1CO1,-0.0852652173913088,-0.106595289439012,32.5933034701862,1
C=CC(C)=C(CO)C1CO1,-0.1157000000000034,-0.1241582938160395,12.71084835226122,1
CC(C=O)=C(CO)C1CO1,-0.2376300000000016,-0.1296183828411593,19.2556047581738,2
CC(C#N)=C(CO)C1CO1,-0.2290578947368431,-0.1019298485496291,24.42425771161485,2
