SMILES,Original_SMILES,ATSC1pe,MATS2c,SlogP_VSA2
C1=CCCCCC1,C1NOCCOC=1,-1.77E-15,-0.27010013,0
C1=CCC=CCC=1,C1NOCCOC=1,1.41E-15,-0.35475755,0
C1=CC=CCCC=1,C1NOCCOC=1,1.41E-15,-0.309420767,0
C1=CC=CCC=C1,C1NOCCOC=1,1.42E-15,-0.30313741,0
C1=C=CCCCC=1,C1NOCCOC=1,1.41E-15,-0.200936516,0
C1=CNCCCC1,C1NOCCOC=1,0.011433333,-0.114425544,6.544756406
C1=C=NCCCC=1,C1NOCCOC=1,0.0686,-0.072281075,12.41455547
C1=CCC=CNC=1,C1NOCCOC=1,-0.0343,-0.066995039,0
C1=CCCC=NC=1,C1NOCCOC=1,0.0686,-0.197002825,6.21460058
C1=CCC=CN=C1,C1NOCCOC=1,0.0686,-0.204747224,6.21460058
C1=C=CNCCC=1,C1NOCCOC=1,-0.0343,-0.141818228,6.544756406
C1=CC=CNC=C1,C1NOCCOC=1,-0.0343,-0.160159237,0
C1=CC=CNCC=1,C1NOCCOC=1,-0.0343,-0.186071824,6.544756406
C1=CC=CCCN=1,C1NOCCOC=1,0.0686,-0.260653387,12.41455547
C1=COCCCC1,C1NOCCOC=1,0.136641176,-0.161469625,6.606881965
C1=CC=COC=C1,C1NOCCOC=1,0.082838462,-0.202720396,0
C1=C=COCCC=1,C1NOCCOC=1,0.082838462,-0.221606404,6.606881965
C1=CCNCCC1,C1NOCCOC=1,0.011433333,-0.149450947,13.08951281
C1=CC=NCC=C1,C1NOCCOC=1,0.0686,-0.233144343,12.75935699
C1=CCC=NCC=1,C1NOCCOC=1,0.0686,-0.333815821,12.75935699
C1=CC=CCNC=1,C1NOCCOC=1,-0.0343,-0.073218575,6.544756406
C1=CNCCNC1,C1NOCCOC=1,-0.052458824,-0.169374685,19.63426922
C1=C=NCCNC=1,C1NOCCOC=1,-0.044853846,-0.193689843,18.95931188
C1=CNC=CCN=1,C1NOCCOC=1,-0.044853846,-0.177711011,12.41455547
C1=CN=CCN=C1,C1NOCCOC=1,0.084430769,-0.334571438,18.97395756
C1=CN=CCNC=1,C1NOCCOC=1,-0.044853846,-0.170989802,12.75935699
C1=CNC=CN=C1,C1NOCCOC=1,-0.044853846,-0.258571683,6.21460058
C1=COCCNC1,C1NOCCOC=1,0.03536875,-0.22198267,19.69639478
C1=CCOCCC1,C1NOCCOC=1,0.136641176,-0.205559134,13.21376393
C1=CC=CCOC=1,C1NOCCOC=1,0.082838462,-0.156595421,6.606881965
C1=CNCCOC1,C1NOCCOC=1,0.03536875,-0.227002874,19.75852033
C1=CCOC=CN=1,C1NOCCOC=1,0.04255,-0.324291238,12.47668103
C1=CNC=COC=1,C1NOCCOC=1,-0.113841667,-0.206640903,0
